('1', '4', '8', '9', '+', '+', '+') = 22.0
('1', '9', '8', '4', '/', '*', '*') = 18.0
('1', '9', '8', '4', '*', '+', '+') = 42.0
('1', '9', '8', '4', '*', '+', '*') = 41.0
('1', '9', '8', '4', '*', '-', '-') = 24.0
('4', '1', '8', '9', '+', '+', '+') = 22.0
('4', '1', '8', '9', '+', '+', '*') = 72.0
('4', '1', '8', '9', '+', '-', '-') = 20.0
('4', '1', '8', '9', '+', '/', '/') = 68.0
('4', '1', '8', '9', '+', '*', '+') = 21.0
('4', '1', '8', '9', '+', '*', '*') = 68.0
('4', '1', '8', '9', '-', '+', '+') = 4.0
('4', '1', '8', '9', '-', '+', '-') = 4.0
('4', '1', '8', '9', '-', '-', '+') = 6.0
('4', '1', '8', '9', '-', '-', '-') = 2.0
('4', '1', '8', '9', '-', '-', '/') = 2.0
('4', '1', '8', '9', '-', '-', '*') = 8.0
('4', '1', '8', '9', '-', '/', '+') = 3.0
('4', '1', '8', '9', '-', '/', '-') = 5.0
('4', '1', '8', '9', '-', '*', '+') = 3.0
('4', '1', '8', '9', '-', '*', '-') = 5.0
('4', '1', '8', '9', '*', '+', '+') = 77.0
('4', '1', '8', '9', '*', '-', '-') = 75.0
('4', '1', '8', '9', '*', '*', '+') = 76.0
('4', '1', '9', '8', '+', '+', '+') = 22.0
('4', '1', '9', '8', '+', '+', '*') = 72.0
('4', '1', '9', '8', '+', '-', '-') = 20.0
('4', '1', '9', '8', '+', '/', '/') = 68.0
('4', '1', '9', '8', '+', '*', '+') = 21.0
('4', '1', '9', '8', '+', '*', '*') = 68.0
('4', '1', '9', '8', '-', '+', '+') = 6.0
('4', '1', '9', '8', '-', '+', '-') = 2.0
('4', '1', '9', '8', '-', '+', '/') = 2.0
('4', '1', '9', '8', '-', '+', '*') = 8.0
('4', '1', '9', '8', '-', '-', '+') = 4.0
('4', '1', '9', '8', '-', '-', '-') = 4.0
('4', '1', '9', '8', '-', '/', '+') = 5.0
('4', '1', '9', '8', '-', '/', '-') = 3.0
('4', '1', '9', '8', '-', '/', '/') = 4.0
('4', '1', '9', '8', '-', '/', '*') = 4.0
('4', '1', '9', '8', '-', '*', '+') = 5.0
('4', '1', '9', '8', '-', '*', '-') = 3.0
('4', '1', '9', '8', '-', '*', '/') = 4.0
('4', '1', '9', '8', '-', '*', '*') = 4.0
('4', '1', '9', '8', '*', '+', '+') = 77.0
('4', '1', '9', '8', '*', '-', '-') = 75.0
('4', '1', '9', '8', '*', '*', '+') = 76.0
('4', '8', '1', '9', '+', '+', '+') = 22.0
('4', '8', '1', '9', '+', '+', '*') = 72.0
('4', '8', '1', '9', '+', '-', '+') = 2.0
('4', '8', '1', '9', '+', '-', '-') = 6.0
('4', '8', '1', '9', '+', '/', '/') = 5.0
('4', '8', '1', '9', '+', '*', '+') = 84.0
('4', '8', '1', '9', '-', '+', '+') = 4.0
('4', '8', '1', '9', '-', '+', '-') = 4.0
('4', '8', '1', '9', '-', '-', '+') = 20.0
('4', '8', '1', '9', '-', '-', '*') = 64.0
('4', '8', '1', '9', '-', '/', '+') = 3.0
('4', '8', '1', '9', '-', '/', '-') = 5.0
('4', '8', '1', '9', '-', '*', '-') = 68.0
('4', '8', '1', '9', '/', '/', '+') = 76.0
('4', '8', '1', '9', '*', '+', '+') = 21.0
('4', '8', '1', '9', '*', '+', '*') = 68.0
('4', '8', '1', '9', '*', '-', '+') = 3.0
('4', '8', '1', '9', '*', '-', '-') = 5.0
('4', '8', '1', '9', '*', '*', '+') = 76.0
('4', '8', '9', '1', '+', '+', '+') = 22.0
('4', '8', '9', '1', '+', '+', '*') = 72.0
('4', '8', '9', '1', '+', '-', '+') = 2.0
('4', '8', '9', '1', '+', '-', '-') = 6.0
('4', '8', '9', '1', '+', '/', '/') = 5.0
('4', '8', '9', '1', '+', '*', '+') = 84.0
('4', '8', '9', '1', '-', '+', '+') = 20.0
('4', '8', '9', '1', '-', '+', '*') = 64.0
('4', '8', '9', '1', '-', '-', '+') = 4.0
('4', '8', '9', '1', '-', '-', '-') = 4.0
('4', '8', '9', '1', '-', '/', '+') = 5.0
('4', '8', '9', '1', '-', '/', '-') = 3.0
('4', '8', '9', '1', '-', '/', '/') = 4.0
('4', '8', '9', '1', '-', '/', '*') = 4.0
('4', '8', '9', '1', '-', '*', '+') = 68.0
('4', '8', '9', '1', '/', '+', '+') = 21.0
('4', '8', '9', '1', '/', '+', '*') = 68.0
('4', '8', '9', '1', '/', '-', '+') = 3.0
('4', '8', '9', '1', '/', '-', '-') = 5.0
('4', '8', '9', '1', '/', '*', '+') = 76.0
('4', '8', '9', '1', '*', '+', '+') = 21.0
('4', '8', '9', '1', '*', '+', '*') = 68.0
('4', '8', '9', '1', '*', '-', '+') = 3.0
('4', '8', '9', '1', '*', '-', '-') = 5.0
('4', '8', '9', '1', '*', '*', '+') = 76.0
('4', '9', '1', '8', '+', '+', '+') = 22.0
('4', '9', '1', '8', '+', '+', '*') = 72.0
('4', '9', '1', '8', '+', '-', '+') = 4.0
('4', '9', '1', '8', '+', '-', '-') = 4.0
('4', '9', '1', '8', '+', '/', '+') = 5.0
('4', '9', '1', '8', '+', '/', '-') = 3.0
('4', '9', '1', '8', '+', '/', '/') = 4.0
('4', '9', '1', '8', '+', '/', '*') = 4.0
('4', '9', '1', '8', '+', '*', '+') = 85.0
('4', '9', '1', '8', '-', '+', '+') = 6.0
('4', '9', '1', '8', '-', '+', '-') = 2.0
('4', '9', '1', '8', '-', '+', '/') = 2.0
('4', '9', '1', '8', '-', '+', '*') = 8.0
('4', '9', '1', '8', '-', '-', '+') = 20.0
('4', '9', '1', '8', '-', '-', '*') = 64.0
('4', '9', '1', '8', '-', '*', '-') = 67.0
('4', '9', '1', '8', '/', '/', '+') = 76.0
('4', '9', '1', '8', '*', '+', '+') = 21.0
('4', '9', '1', '8', '*', '+', '*') = 68.0
('4', '9', '1', '8', '*', '-', '+') = 5.0
('4', '9', '1', '8', '*', '-', '-') = 3.0
('4', '9', '1', '8', '*', '-', '/') = 4.0
('4', '9', '1', '8', '*', '-', '*') = 4.0
('4', '9', '1', '8', '*', '*', '+') = 76.0
('4', '9', '8', '1', '+', '+', '+') = 22.0
('4', '9', '8', '1', '+', '+', '*') = 72.0
('4', '9', '8', '1', '+', '-', '+') = 4.0
('4', '9', '8', '1', '+', '-', '-') = 4.0
('4', '9', '8', '1', '+', '/', '+') = 5.0
('4', '9', '8', '1', '+', '/', '-') = 3.0
('4', '9', '8', '1', '+', '/', '/') = 4.0
('4', '9', '8', '1', '+', '/', '*') = 4.0
('4', '9', '8', '1', '+', '*', '+') = 85.0
('4', '9', '8', '1', '-', '+', '+') = 20.0
('4', '9', '8', '1', '-', '+', '*') = 64.0
('4', '9', '8', '1', '-', '-', '+') = 6.0
('4', '9', '8', '1', '-', '-', '-') = 2.0
('4', '9', '8', '1', '-', '-', '/') = 2.0
('4', '9', '8', '1', '-', '-', '*') = 8.0
('4', '9', '8', '1', '-', '*', '+') = 67.0
('4', '9', '8', '1', '/', '+', '+') = 21.0
('4', '9', '8', '1', '/', '+', '*') = 68.0
('4', '9', '8', '1', '/', '-', '+') = 5.0
('4', '9', '8', '1', '/', '-', '-') = 3.0
('4', '9', '8', '1', '/', '-', '/') = 4.0
('4', '9', '8', '1', '/', '-', '*') = 4.0
('4', '9', '8', '1', '/', '*', '+') = 76.0
('4', '9', '8', '1', '*', '+', '+') = 21.0
('4', '9', '8', '1', '*', '+', '*') = 68.0
('4', '9', '8', '1', '*', '-', '+') = 5.0
('4', '9', '8', '1', '*', '-', '-') = 3.0
('4', '9', '8', '1', '*', '-', '/') = 4.0
('4', '9', '8', '1', '*', '-', '*') = 4.0
('4', '9', '8', '1', '*', '*', '+') = 76.0
('8', '1', '4', '9', '+', '+', '+') = 22.0
('8', '1', '4', '9', '+', '-', '-') = 20.0
('8', '1', '4', '9', '+', '*', '+') = 21.0
('8', '1', '4', '9', '-', '+', '+') = 4.0
('8', '1', '4', '9', '-', '+', '-') = 12.0
('8', '1', '4', '9', '-', '-', '+') = 14.0
('8', '1', '4', '9', '-', '-', '-') = 2.0
('8', '1', '4', '9', '-', '-', '*') = 48.0
('8', '1', '4', '9', '-', '*', '+') = 3.0
('8', '1', '4', '9', '-', '*', '-') = 13.0
('8', '1', '4', '9', '/', '/', '*') = 18.0
('8', '1', '4', '9', '/', '*', '/') = 18.0
('8', '1', '4', '9', '*', '+', '+') = 45.0
('8', '1', '4', '9', '*', '-', '-') = 43.0
('8', '1', '4', '9', '*', '*', '+') = 44.0
('8', '1', '9', '4', '+', '+', '+') = 22.0
('8', '1', '9', '4', '+', '-', '-') = 20.0
('8', '1', '9', '4', '+', '*', '+') = 21.0
('8', '1', '9', '4', '-', '+', '+') = 14.0
('8', '1', '9', '4', '-', '+', '-') = 2.0
('8', '1', '9', '4', '-', '+', '*') = 48.0
('8', '1', '9', '4', '-', '-', '+') = 4.0
('8', '1', '9', '4', '-', '-', '-') = 12.0
('8', '1', '9', '4', '-', '/', '/') = 40.0
('8', '1', '9', '4', '-', '*', '+') = 13.0
('8', '1', '9', '4', '-', '*', '-') = 3.0
('8', '1', '9', '4', '-', '*', '*') = 40.0
('8', '1', '9', '4', '/', '+', '*') = 26.0
('8', '1', '9', '4', '/', '/', '/') = 18.0
('8', '1', '9', '4', '/', '*', '*') = 18.0
('8', '1', '9', '4', '*', '+', '+') = 45.0
('8', '1', '9', '4', '*', '-', '-') = 43.0
('8', '1', '9', '4', '*', '*', '+') = 44.0
('8', '4', '1', '9', '+', '+', '+') = 22.0
('8', '4', '1', '9', '+', '-', '+') = 2.0
('8', '4', '1', '9', '+', '-', '-') = 14.0
('8', '4', '1', '9', '+', '/', '/') = 20.0
('8', '4', '1', '9', '+', '*', '+') = 48.0
('8', '4', '1', '9', '-', '+', '+') = 4.0
('8', '4', '1', '9', '-', '+', '-') = 12.0
('8', '4', '1', '9', '-', '-', '+') = 20.0
('8', '4', '1', '9', '-', '-', '*') = 96.0
('8', '4', '1', '9', '-', '*', '-') = 40.0
('8', '4', '1', '9', '/', '/', '+') = 44.0
('8', '4', '1', '9', '/', '*', '/') = 18.0
('8', '4', '1', '9', '*', '+', '+') = 21.0
('8', '4', '1', '9', '*', '-', '+') = 3.0
('8', '4', '1', '9', '*', '-', '-') = 13.0
('8', '4', '1', '9', '*', '/', '/') = 18.0
('8', '4', '1', '9', '*', '*', '+') = 44.0
('8', '4', '9', '1', '+', '+', '+') = 22.0
('8', '4', '9', '1', '+', '-', '+') = 2.0
('8', '4', '9', '1', '+', '-', '-') = 14.0
('8', '4', '9', '1', '+', '/', '/') = 20.0
('8', '4', '9', '1', '+', '*', '+') = 48.0
('8', '4', '9', '1', '-', '+', '+') = 20.0
('8', '4', '9', '1', '-', '+', '*') = 96.0
('8', '4', '9', '1', '-', '-', '+') = 4.0
('8', '4', '9', '1', '-', '-', '-') = 12.0
('8', '4', '9', '1', '-', '/', '/') = 16.0
('8', '4', '9', '1', '-', '/', '*') = 4.0
('8', '4', '9', '1', '-', '*', '+') = 40.0
('8', '4', '9', '1', '/', '+', '+') = 21.0
('8', '4', '9', '1', '/', '-', '+') = 3.0
('8', '4', '9', '1', '/', '-', '-') = 13.0
('8', '4', '9', '1', '/', '/', '/') = 18.0
('8', '4', '9', '1', '/', '*', '+') = 44.0
('8', '4', '9', '1', '*', '+', '+') = 21.0
('8', '4', '9', '1', '*', '-', '+') = 3.0
('8', '4', '9', '1', '*', '-', '-') = 13.0
('8', '4', '9', '1', '*', '/', '/') = 18.0
('8', '4', '9', '1', '*', '*', '+') = 44.0
('8', '9', '1', '4', '+', '+', '+') = 22.0
('8', '9', '1', '4', '+', '-', '+') = 12.0
('8', '9', '1', '4', '+', '-', '-') = 4.0
('8', '9', '1', '4', '+', '-', '/') = 2.0
('8', '9', '1', '4', '+', '-', '*') = 32.0
('8', '9', '1', '4', '+', '*', '+') = 53.0
('8', '9', '1', '4', '-', '+', '+') = 14.0
('8', '9', '1', '4', '-', '+', '-') = 2.0
('8', '9', '1', '4', '-', '+', '*') = 48.0
('8', '9', '1', '4', '-', '-', '+') = 20.0
('8', '9', '1', '4', '-', '-', '*') = 96.0
('8', '9', '1', '4', '-', '/', '+') = 5.0
('8', '9', '1', '4', '-', '/', '-') = 11.0
('8', '9', '1', '4', '-', '*', '-') = 35.0
('8', '9', '1', '4', '/', '+', '*') = 74.0
('8', '9', '1', '4', '/', '-', '*') = 70.0
('8', '9', '1', '4', '/', '/', '+') = 44.0
('8', '9', '1', '4', '/', '*', '*') = 18.0
('8', '9', '1', '4', '*', '+', '+') = 21.0
('8', '9', '1', '4', '*', '-', '+') = 13.0
('8', '9', '1', '4', '*', '-', '-') = 3.0
('8', '9', '1', '4', '*', '-', '*') = 40.0
('8', '9', '1', '4', '*', '/', '*') = 18.0
('8', '9', '1', '4', '*', '*', '+') = 44.0
('8', '9', '4', '1', '+', '+', '+') = 22.0
('8', '9', '4', '1', '+', '-', '+') = 12.0
('8', '9', '4', '1', '+', '-', '-') = 4.0
('8', '9', '4', '1', '+', '-', '/') = 2.0
('8', '9', '4', '1', '+', '-', '*') = 32.0
('8', '9', '4', '1', '+', '*', '+') = 53.0
('8', '9', '4', '1', '-', '+', '+') = 20.0
('8', '9', '4', '1', '-', '+', '*') = 96.0
('8', '9', '4', '1', '-', '-', '+') = 14.0
('8', '9', '4', '1', '-', '-', '-') = 2.0
('8', '9', '4', '1', '-', '-', '*') = 48.0
('8', '9', '4', '1', '-', '/', '+') = 11.0
('8', '9', '4', '1', '-', '/', '-') = 5.0
('8', '9', '4', '1', '-', '/', '*') = 24.0
('8', '9', '4', '1', '-', '*', '+') = 35.0
('8', '9', '4', '1', '/', '+', '+') = 21.0
('8', '9', '4', '1', '/', '-', '+') = 13.0
('8', '9', '4', '1', '/', '-', '-') = 3.0
('8', '9', '4', '1', '/', '-', '*') = 40.0
('8', '9', '4', '1', '/', '/', '*') = 18.0
('8', '9', '4', '1', '/', '*', '+') = 44.0
('8', '9', '4', '1', '*', '+', '+') = 21.0
('8', '9', '4', '1', '*', '-', '+') = 13.0
('8', '9', '4', '1', '*', '-', '-') = 3.0
('8', '9', '4', '1', '*', '-', '*') = 40.0
('8', '9', '4', '1', '*', '/', '*') = 18.0
('8', '9', '4', '1', '*', '*', '+') = 44.0
('9', '1', '4', '8', '+', '+', '+') = 22.0
('9', '1', '4', '8', '+', '-', '-') = 20.0
('9', '1', '4', '8', '+', '*', '+') = 21.0
('9', '1', '4', '8', '-', '+', '+') = 6.0
('9', '1', '4', '8', '-', '+', '-') = 12.0
('9', '1', '4', '8', '-', '-', '+') = 14.0
('9', '1', '4', '8', '-', '-', '-') = 4.0
('9', '1', '4', '8', '-', '-', '*') = 45.0
('9', '1', '4', '8', '-', '*', '+') = 5.0
('9', '1', '4', '8', '-', '*', '-') = 13.0
('9', '1', '4', '8', '/', '+', '/') = 6.0
('9', '1', '4', '8', '/', '-', '/') = 18.0
('9', '1', '4', '8', '/', '/', '+') = 11.0
('9', '1', '4', '8', '/', '/', '-') = 7.0
('9', '1', '4', '8', '/', '/', '*') = 18.0
('9', '1', '4', '8', '/', '*', '/') = 18.0
('9', '1', '4', '8', '*', '+', '+') = 42.0
('9', '1', '4', '8', '*', '-', '-') = 40.0
('9', '1', '4', '8', '*', '*', '+') = 41.0
('9', '1', '8', '4', '+', '+', '+') = 22.0
('9', '1', '8', '4', '+', '-', '-') = 20.0
('9', '1', '8', '4', '+', '*', '+') = 21.0
('9', '1', '8', '4', '-', '+', '+') = 14.0
('9', '1', '8', '4', '-', '+', '-') = 4.0
('9', '1', '8', '4', '-', '+', '*') = 45.0
('9', '1', '8', '4', '-', '-', '+') = 6.0
('9', '1', '8', '4', '-', '-', '-') = 12.0
('9', '1', '8', '4', '-', '/', '/') = 36.0
('9', '1', '8', '4', '-', '*', '+') = 13.0
('9', '1', '8', '4', '-', '*', '-') = 5.0
('9', '1', '8', '4', '-', '*', '*') = 36.0
('9', '1', '8', '4', '/', '+', '+') = 12.0
('9', '1', '8', '4', '/', '+', '-') = 6.0
('9', '1', '8', '4', '/', '+', '/') = 3.0
('9', '1', '8', '4', '/', '+', '*') = 27.0
('9', '1', '8', '4', '/', '-', '+') = 8.0
('9', '1', '8', '4', '/', '-', '-') = 10.0
('9', '1', '8', '4', '/', '/', '/') = 18.0
('9', '1', '8', '4', '/', '*', '+') = 11.0
('9', '1', '8', '4', '/', '*', '-') = 7.0
('9', '1', '8', '4', '/', '*', '*') = 18.0
('9', '1', '8', '4', '*', '+', '+') = 42.0
('9', '1', '8', '4', '*', '-', '-') = 40.0
('9', '1', '8', '4', '*', '*', '+') = 41.0
('9', '4', '1', '8', '+', '+', '+') = 22.0
('9', '4', '1', '8', '+', '-', '+') = 4.0
('9', '4', '1', '8', '+', '-', '-') = 14.0
('9', '4', '1', '8', '+', '/', '*') = 4.0
('9', '4', '1', '8', '+', '*', '+') = 45.0
('9', '4', '1', '8', '-', '+', '+') = 6.0
('9', '4', '1', '8', '-', '+', '-') = 12.0
('9', '4', '1', '8', '-', '-', '+') = 20.0
('9', '4', '1', '8', '-', '-', '*') = 99.0
('9', '4', '1', '8', '-', '*', '-') = 37.0
('9', '4', '1', '8', '/', '/', '+') = 41.0
('9', '4', '1', '8', '/', '*', '/') = 18.0
('9', '4', '1', '8', '*', '+', '+') = 21.0
('9', '4', '1', '8', '*', '-', '+') = 5.0
('9', '4', '1', '8', '*', '-', '-') = 13.0
('9', '4', '1', '8', '*', '/', '/') = 18.0
('9', '4', '1', '8', '*', '*', '+') = 41.0
('9', '4', '8', '1', '+', '+', '+') = 22.0
('9', '4', '8', '1', '+', '-', '+') = 4.0
('9', '4', '8', '1', '+', '-', '-') = 14.0
('9', '4', '8', '1', '+', '/', '*') = 4.0
('9', '4', '8', '1', '+', '*', '+') = 45.0
('9', '4', '8', '1', '-', '+', '+') = 20.0
('9', '4', '8', '1', '-', '+', '*') = 99.0
('9', '4', '8', '1', '-', '-', '+') = 6.0
('9', '4', '8', '1', '-', '-', '-') = 12.0
('9', '4', '8', '1', '-', '*', '+') = 37.0
('9', '4', '8', '1', '/', '+', '+') = 21.0
('9', '4', '8', '1', '/', '-', '+') = 5.0
('9', '4', '8', '1', '/', '-', '-') = 13.0
('9', '4', '8', '1', '/', '/', '/') = 18.0
('9', '4', '8', '1', '/', '*', '+') = 41.0
('9', '4', '8', '1', '*', '+', '+') = 21.0
('9', '4', '8', '1', '*', '-', '+') = 5.0
('9', '4', '8', '1', '*', '-', '-') = 13.0
('9', '4', '8', '1', '*', '/', '/') = 18.0
('9', '4', '8', '1', '*', '*', '+') = 41.0
('9', '8', '1', '4', '+', '+', '+') = 22.0
('9', '8', '1', '4', '+', '-', '+') = 12.0
('9', '8', '1', '4', '+', '-', '-') = 6.0
('9', '8', '1', '4', '+', '-', '/') = 3.0
('9', '8', '1', '4', '+', '-', '*') = 27.0
('9', '8', '1', '4', '+', '*', '+') = 49.0
('9', '8', '1', '4', '-', '+', '+') = 14.0
('9', '8', '1', '4', '-', '+', '-') = 4.0
('9', '8', '1', '4', '-', '+', '*') = 45.0
('9', '8', '1', '4', '-', '-', '+') = 20.0
('9', '8', '1', '4', '-', '-', '*') = 99.0
('9', '8', '1', '4', '-', '*', '-') = 33.0
('9', '8', '1', '4', '/', '/', '+') = 41.0
('9', '8', '1', '4', '/', '*', '+') = 11.0
('9', '8', '1', '4', '/', '*', '-') = 7.0
('9', '8', '1', '4', '/', '*', '*') = 18.0
('9', '8', '1', '4', '*', '+', '+') = 21.0
('9', '8', '1', '4', '*', '-', '+') = 13.0
('9', '8', '1', '4', '*', '-', '-') = 5.0
('9', '8', '1', '4', '*', '-', '*') = 36.0
('9', '8', '1', '4', '*', '/', '+') = 11.0
('9', '8', '1', '4', '*', '/', '-') = 7.0
('9', '8', '1', '4', '*', '/', '*') = 18.0
('9', '8', '1', '4', '*', '*', '+') = 41.0
('9', '8', '4', '1', '+', '+', '+') = 22.0
('9', '8', '4', '1', '+', '-', '+') = 12.0
('9', '8', '4', '1', '+', '-', '-') = 6.0
('9', '8', '4', '1', '+', '-', '/') = 3.0
('9', '8', '4', '1', '+', '-', '*') = 27.0
('9', '8', '4', '1', '+', '*', '+') = 49.0
('9', '8', '4', '1', '-', '+', '+') = 20.0
('9', '8', '4', '1', '-', '+', '*') = 99.0
('9', '8', '4', '1', '-', '-', '+') = 14.0
('9', '8', '4', '1', '-', '-', '-') = 4.0
('9', '8', '4', '1', '-', '-', '*') = 45.0
('9', '8', '4', '1', '-', '/', '*') = 24.0
('9', '8', '4', '1', '-', '*', '+') = 33.0
('9', '8', '4', '1', '/', '+', '+') = 21.0
('9', '8', '4', '1', '/', '-', '+') = 13.0
('9', '8', '4', '1', '/', '-', '-') = 5.0
('9', '8', '4', '1', '/', '-', '*') = 36.0
('9', '8', '4', '1', '/', '/', '+') = 11.0
('9', '8', '4', '1', '/', '/', '-') = 7.0
('9', '8', '4', '1', '/', '/', '*') = 18.0
('9', '8', '4', '1', '/', '*', '+') = 41.0
('9', '8', '4', '1', '*', '+', '+') = 21.0
('9', '8', '4', '1', '*', '-', '+') = 13.0
('9', '8', '4', '1', '*', '-', '-') = 5.0
('9', '8', '4', '1', '*', '-', '*') = 36.0
('9', '8', '4', '1', '*', '/', '+') = 11.0
('9', '8', '4', '1', '*', '/', '-') = 7.0
('9', '8', '4', '1', '*', '/', '*') = 18.0
('9', '8', '4', '1', '*', '*', '+') = 41.0
('1', '4', '8', '+', '+') = 13.0
('1', '4', '8', '+', '*') = 12.0
('1', '4', '8', '-', '-') = 5.0
('1', '4', '8', '/', '/') = 2.0
('1', '4', '8', '*', '+') = 33.0
('1', '4', '8', '*', '*') = 32.0
('1', '4', '9', '+', '+') = 14.0
('1', '4', '9', '+', '*') = 13.0
('1', '4', '9', '-', '-') = 6.0
('1', '4', '9', '*', '+') = 37.0
('1', '4', '9', '*', '*') = 36.0
('1', '8', '4', '+', '+') = 13.0
('1', '8', '4', '+', '*') = 12.0
('1', '8', '4', '-', '+') = 5.0
('1', '8', '4', '-', '*') = 4.0
('1', '8', '4', '/', '+') = 3.0
('1', '8', '4', '/', '*') = 2.0
('1', '8', '4', '*', '+') = 33.0
('1', '8', '4', '*', '*') = 32.0
('1', '8', '9', '+', '+') = 18.0
('1', '8', '9', '+', '*') = 17.0
('1', '8', '9', '-', '-') = 2.0
('1', '8', '9', '*', '+') = 73.0
('1', '8', '9', '*', '*') = 72.0
('1', '9', '4', '+', '+') = 14.0
('1', '9', '4', '+', '*') = 13.0
('1', '9', '4', '-', '+') = 6.0
('1', '9', '4', '-', '*') = 5.0
('1', '9', '4', '*', '+') = 37.0
('1', '9', '4', '*', '*') = 36.0
('1', '9', '8', '+', '+') = 18.0
('1', '9', '8', '+', '*') = 17.0
('1', '9', '8', '-', '+') = 2.0
('1', '9', '8', '-', '/') = 1.0
('1', '9', '8', '-', '*') = 1.0
('1', '9', '8', '*', '+') = 73.0
('1', '9', '8', '*', '*') = 72.0
('4', '1', '8', '+', '+') = 13.0
('4', '1', '8', '+', '*') = 36.0
